Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,median_Group1,median_Group2,MAD_Group1,MAD_Group2,adj_p_value,Significant
delta_power_EEG T3,Control,COBRAD,Mann-Whitney U,1159.0,1.9026749011606217e-29,1.3069696422791852,9.572487503781452e-12,5.1497492591954786e-11,1.1781414435080314e-11,5.6418605015887626e-11,6.113676711782423e-12,3.326916755271262e-11,2.4940278731491345e-12,1.8655081426045754e-11,1.2733285876998005e-28,True
theta_power_EEG T3,Control,COBRAD,Mann-Whitney U,4056.0,5.8060373449573483e-11,0.4888749601972052,1.0688056348843332e-11,2.1193510653417667e-11,1.5591882038057816e-11,3.147874582426163e-11,5.934378955227285e-12,1.460396266171121e-11,3.2589094413398414e-12,7.876597093932725e-12,1.0052243761418693e-10,True
alpha_power_EEG T3,Control,COBRAD,Mann-Whitney U,7011.0,0.08265199570008865,0.11300738249860225,9.77969397701211e-12,1.1420770456259847e-11,1.2394597722837058e-11,1.869317322686776e-11,5.921005725330047e-12,7.431805384097148e-12,3.199292791520271e-12,3.689534867362961e-12,0.0898840453238464,False
beta_power_EEG T3,Control,COBRAD,Mann-Whitney U,5533.0,3.4295778158759356e-05,0.4767342791038046,1.0114292387417149e-11,2.0999830005358974e-11,9.052003843751168e-12,3.98081528804468e-11,7.459005638328749e-12,1.1148486371613488e-11,3.1909749678852036e-12,4.672870280108217e-12,4.736083650495339e-05,True
gamma_power_EEG T3,Control,COBRAD,Mann-Whitney U,2981.0,1.0444214571308765e-16,0.28397238390830615,7.49234362045818e-12,1.0784206874854383e-10,7.781259745411737e-12,6.533756471570063e-10,4.8634455243222896e-12,1.5638261211747743e-11,2.348402699770834e-12,8.396080527547668e-12,2.3448946263325487e-16,True
skewness_EEG T3,Control,COBRAD,Mann-Whitney U,5012.0,5.991176099391522e-07,0.5460369664013454,-0.07550712475225994,0.013783076166192912,0.14048187603722442,0.20902256561646765,-0.0930612650990415,0.014798624179543642,0.06641383698025219,0.09523843521131442,8.87203950037553e-07,True
kurtosis_EEG T3,Control,COBRAD,Mann-Whitney U,768.0,1.1255199760954059e-32,1.7331777570954994,1.1379725665403322,4.0237396213888035,1.0639588962216018,2.5964042979088826,0.8874232303627063,3.274209299818593,0.29971066221009535,0.9332202725141603,1.4506701914118565e-31,True
mean_mpf_EEG T3,Control,COBRAD,Mann-Whitney U,9411.0,0.02985386463097863,-0.19393128598589945,10.58936598519708,10.11715744904,2.3148707416715952,2.703464005876006,10.393304902359148,9.69968618339007,1.3049433358531015,1.1255419240337243,0.03406277013632972,True
median_mpf_EEG T3,Control,COBRAD,Mann-Whitney U,10139.0,0.000785652554815086,-0.3132726342559888,10.563616842207443,9.77813975232983,2.3433827262617575,2.8654836187697117,10.344142927899306,9.41971502441719,1.2990931950751516,1.3320576105625932,0.0010088822475116234,True
pswe_percentage_EEG T3,Control,COBRAD,Mann-Whitney U,612.0,1.5188602444853042e-39,1.3424013281389793,1.392035725296552,11.432666843859584,7.593709749910833,7.196016045666632,0.0,10.90712776471721,0.0,4.009458811910935,1.3214084127022148e-37,True
