Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,median_Group1,median_Group2,MAD_Group1,MAD_Group2,adj_p_value,Significant
fft_mean_EEG F8,Control,WNV,Mann-Whitney U,970.0,0.18220028123586285,0.6509009842908514,0.0026458215083018095,0.003671791263361269,0.0010866843100247163,0.002745181944526586,0.00244658322142795,0.0028407697933707,0.0005877887725881501,0.0009991820578774,0.23226170036137148,False
fft_std_EEG F8,Control,WNV,Mann-Whitney U,688.0,0.0015057343609714208,0.9293909755359591,0.0034237881680706465,0.004979585359753621,0.0014495503678561652,0.002349234339303681,0.0032301667684344,0.0039982950220998,0.00079677390915525,0.0012055978513514,0.0030809641539876766,True
delta_power_EEG F8,Control,WNV,Mann-Whitney U,420.0,8.574511451897322e-07,1.5340618146214688,1.2165015842340156e-11,4.851104505151029e-11,1.2334155857815956e-11,4.633613482914763e-11,8.961241252588634e-12,2.0755616794888303e-11,3.9028538450298565e-12,1.1175747081556179e-11,4.121963938924134e-06,True
theta_power_EEG F8,Control,WNV,Mann-Whitney U,731.0,0.0038149018534022216,0.4972070248100988,1.1238237372936416e-11,1.898148439982435e-11,1.4904858735537655e-11,1.793044511101899e-11,6.821136456405254e-12,1.233199732782209e-11,3.7968515088593604e-12,5.9002262716254004e-12,0.006735158581891533,True
alpha_power_EEG F8,Control,WNV,Mann-Whitney U,1116.0,0.7027492393007522,-0.09537089298449636,9.476119167455672e-12,8.373422243285071e-12,1.2500899516007235e-11,6.793776686354117e-12,6.096806579164271e-12,7.088372780443482e-12,3.192319349869038e-12,2.9180020671476818e-12,0.7661118756311479,False
beta_power_EEG F8,Control,WNV,Mann-Whitney U,1175.0,1.0,0.28979947580931126,9.088679099075779e-12,1.259198290232557e-11,9.365433047349716e-12,1.930121271111588e-11,6.566235817951384e-12,6.4807685248253195e-12,2.59952488821323e-12,2.9484562753084964e-12,1.0,False
gamma_power_EEG F8,Control,WNV,Mann-Whitney U,1031.0,0.3492264472434383,0.8143431516669692,8.949632618058046e-12,3.864198410821692e-11,9.887162019073716e-12,7.811720930893394e-11,5.223589999095866e-12,7.689553169495833e-12,2.790615638407545e-12,5.496740975619927e-12,0.42352994665693583,False
skewness_EEG F8,Control,WNV,T-test,0.5431067674041407,0.5880894933571823,-0.12221507086649541,-0.026904814980488398,-0.041855721845130194,0.12284144501423289,0.1203412950100546,-0.01166932793103915,-0.0855521884288819,0.058533799290877805,0.053119600733603,0.6609794587310303,False
kurtosis_EEG F8,Control,WNV,Mann-Whitney U,803.0,0.015376037056518627,0.5815050516267722,1.1164752480137714,1.7705247387666505,0.8932502359029645,1.7536718082233762,0.8455507460460125,1.25780819895754,0.3052432511886385,0.6320492757977427,0.02359630302134974,True
mean_mpf_EEG F8,Control,WNV,T-test,3.449116663009977,0.0007827136264166744,-0.7761531667361815,9.64239838491679,7.798152534699588,2.072111612319749,3.2994680432035697,9.556551661469122,7.5961540179118,1.2930174717965652,2.444580768076036,0.0018927438602439582,True
